lead_id,customer_id,vehicle_id,enquiry_date,status,dealer_name,state,notes,created_at,enquiry_month,enquiry_year,enquiry_quarter
77,105,26,2024-09-12,Rejected,Tokyo Motors,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,9,2024,3
78,70,5,2025-01-09,Rejected,Delhi Car Palace,Gujarat,Seed data lead v2,2026-07-10 09:27:06,1,2025,1
79,21,11,2024-08-04,Rejected,Sydney Prestige Cars,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,8,2024,3
80,65,26,2025-07-07,In-Progress,Hyderabad Motors,West Bengal,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
81,26,25,2024-07-21,Converted,Delhi Car Palace,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,7,2024,3
82,123,1,2025-03-23,Converted,Singapore Car Centre,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,3,2025,1
83,36,18,2024-01-18,New,Mumbai Auto Hub,Karnataka,Seed data lead v2,2026-07-10 09:27:06,1,2024,1
84,93,17,2025-03-23,On-Hold,New York Auto Group,Delhi,Seed data lead v2,2026-07-10 09:27:06,3,2025,1
85,2,9,2024-12-08,On-Hold,Sydney Prestige Cars,West Bengal,Seed data lead v2,2026-07-10 09:27:06,12,2024,4
86,110,21,2026-03-08,Rejected,Pune Car World,Gujarat,Seed data lead v2,2026-07-10 09:27:06,3,2026,1
87,145,8,2025-04-22,Converted,Hyderabad Motors,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,4,2025,2
88,32,23,2026-05-09,Converted,Sydney Prestige Cars,Delhi,Seed data lead v2,2026-07-10 09:27:06,5,2026,2
89,24,14,2024-02-17,Converted,London Premium Cars,West Bengal,Seed data lead v2,2026-07-10 09:27:06,2,2024,1
90,97,1,2024-05-21,New,Bengaluru Wheels,Karnataka,Seed data lead v2,2026-07-10 09:27:06,5,2024,2
91,24,4,2024-04-27,Converted,Mumbai Auto Hub,West Bengal,Seed data lead v2,2026-07-10 09:27:06,4,2024,2
92,142,5,2025-04-20,In-Progress,Dubai Luxury Motors,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,4,2025,2
93,11,26,2026-04-12,On-Hold,Tokyo Motors,Delhi,Seed data lead v2,2026-07-10 09:27:06,4,2026,2
94,150,11,2024-01-18,In-Progress,Delhi Car Palace,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,1,2024,1
95,10,13,2024-01-19,Converted,Tokyo Motors,West Bengal,Seed data lead v2,2026-07-10 09:27:06,1,2024,1
96,1,14,2025-02-13,Rejected,Dubai Luxury Motors,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,2,2025,1
97,109,23,2024-11-22,New,Delhi Car Palace,Telangana,Seed data lead v2,2026-07-10 09:27:06,11,2024,4
98,137,20,2026-05-20,On-Hold,Sydney Prestige Cars,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,5,2026,2
99,91,9,2025-06-20,In-Progress,Pune Car World,Karnataka,Seed data lead v2,2026-07-10 09:27:06,6,2025,2
100,106,3,2024-04-20,New,Singapore Car Centre,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,4,2024,2
101,38,26,2025-09-30,Converted,Tokyo Motors,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,9,2025,3
102,146,2,2025-03-07,Converted,Sydney Prestige Cars,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,3,2025,1
103,81,24,2025-06-11,On-Hold,Pune Car World,West Bengal,Seed data lead v2,2026-07-10 09:27:06,6,2025,2
104,144,3,2025-04-20,Converted,Dubai Luxury Motors,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,4,2025,2
105,70,11,2025-10-23,Rejected,Bengaluru Wheels,Gujarat,Seed data lead v2,2026-07-10 09:27:06,10,2025,4
106,72,12,2025-12-26,New,Chennai Auto Park,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,12,2025,4
107,163,4,2025-07-13,New,Bengaluru Wheels,Berlin,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
108,112,10,2025-06-09,Converted,Sydney Prestige Cars,Gujarat,Seed data lead v2,2026-07-10 09:27:06,6,2025,2
109,10,6,2024-05-28,Converted,Delhi Car Palace,West Bengal,Seed data lead v2,2026-07-10 09:27:06,5,2024,2
110,166,16,2025-10-19,Converted,New York Auto Group,Osaka,Seed data lead v2,2026-07-10 09:27:06,10,2025,4
111,123,15,2025-12-10,Converted,Mumbai Auto Hub,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,12,2025,4
112,118,15,2025-10-14,On-Hold,Pune Car World,Delhi,Seed data lead v2,2026-07-10 09:27:06,10,2025,4
113,131,10,2024-10-28,New,New York Auto Group,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,10,2024,4
114,126,12,2024-05-23,Converted,Delhi Car Palace,Telangana,Seed data lead v2,2026-07-10 09:27:06,5,2024,2
115,90,4,2024-02-19,Rejected,Chennai Auto Park,Delhi,Seed data lead v2,2026-07-10 09:27:06,2,2024,1
116,3,1,2026-01-09,Rejected,Sydney Prestige Cars,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,1,2026,1
117,62,22,2025-08-17,Converted,Tokyo Motors,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,8,2025,3
118,19,15,2025-01-14,New,Bengaluru Wheels,Telangana,Seed data lead v2,2026-07-10 09:27:06,1,2025,1
119,140,5,2025-02-13,Converted,Delhi Car Palace,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,2,2025,1
120,105,24,2025-07-22,Converted,Pune Car World,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
121,114,23,2026-05-23,Rejected,Delhi Car Palace,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,5,2026,2
122,86,4,2026-02-18,Rejected,Dubai Luxury Motors,West Bengal,Seed data lead v2,2026-07-10 09:27:06,2,2026,1
123,136,23,2024-01-18,Converted,Tokyo Motors,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,1,2024,1
124,51,24,2025-03-17,In-Progress,Tokyo Motors,Delhi,Seed data lead v2,2026-07-10 09:27:06,3,2025,1
125,45,1,2024-12-27,New,Pune Car World,Delhi,Seed data lead v2,2026-07-10 09:27:06,12,2024,4
126,157,15,2024-11-27,Converted,London Premium Cars,England,Seed data lead v2,2026-07-10 09:27:06,11,2024,4
127,157,23,2025-05-25,Converted,Dubai Luxury Motors,England,Seed data lead v2,2026-07-10 09:27:06,5,2025,2
128,133,19,2026-02-07,Converted,Pune Car World,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,2,2026,1
129,165,4,2025-07-13,On-Hold,London Premium Cars,Tokyo,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
130,38,23,2024-08-07,Rejected,New York Auto Group,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,8,2024,3
131,162,20,2025-07-13,New,Sydney Prestige Cars,Bavaria,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
132,149,17,2024-01-14,In-Progress,Chennai Auto Park,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,1,2024,1
133,98,8,2025-04-27,On-Hold,Chennai Auto Park,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,4,2025,2
134,153,21,2024-10-21,New,Singapore Car Centre,Texas,Seed data lead v2,2026-07-10 09:27:06,10,2024,4
135,130,17,2024-08-15,Converted,Pune Car World,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,8,2024,3
136,110,6,2026-04-06,Converted,Singapore Car Centre,Gujarat,Seed data lead v2,2026-07-10 09:27:06,4,2026,2
137,67,5,2025-09-10,New,Delhi Car Palace,West Bengal,Seed data lead v2,2026-07-10 09:27:06,9,2025,3
138,12,17,2025-11-22,Rejected,Hyderabad Motors,Telangana,Seed data lead v2,2026-07-10 09:27:06,11,2025,4
139,128,11,2024-10-18,New,New York Auto Group,West Bengal,Seed data lead v2,2026-07-10 09:27:06,10,2024,4
140,84,18,2026-04-05,New,Pune Car World,Karnataka,Seed data lead v2,2026-07-10 09:27:06,4,2026,2
141,7,6,2025-12-15,On-Hold,Mumbai Auto Hub,West Bengal,Seed data lead v2,2026-07-10 09:27:06,12,2025,4
142,56,9,2025-09-24,Converted,Delhi Car Palace,Telangana,Seed data lead v2,2026-07-10 09:27:06,9,2025,3
143,45,9,2025-06-05,New,Sydney Prestige Cars,Delhi,Seed data lead v2,2026-07-10 09:27:06,6,2025,2
144,98,5,2026-04-23,Converted,Singapore Car Centre,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,4,2026,2
145,92,22,2025-08-30,In-Progress,Chennai Auto Park,Karnataka,Seed data lead v2,2026-07-10 09:27:06,8,2025,3
146,83,6,2024-02-03,Converted,Tokyo Motors,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,2,2024,1
147,153,13,2025-07-19,Converted,Hyderabad Motors,Texas,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
148,134,5,2026-02-19,On-Hold,Singapore Car Centre,Telangana,Seed data lead v2,2026-07-10 09:27:06,2,2026,1
149,75,10,2026-04-22,On-Hold,Tokyo Motors,Telangana,Seed data lead v2,2026-07-10 09:27:06,4,2026,2
150,54,18,2025-06-25,On-Hold,Delhi Car Palace,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,6,2025,2
151,129,12,2025-02-11,Rejected,Tokyo Motors,West Bengal,Seed data lead v2,2026-07-10 09:27:06,2,2025,1
152,83,26,2024-07-22,Rejected,London Premium Cars,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,7,2024,3
153,119,17,2025-03-10,New,Hyderabad Motors,Karnataka,Seed data lead v2,2026-07-10 09:27:06,3,2025,1
154,69,3,2025-04-19,Converted,Chennai Auto Park,West Bengal,Seed data lead v2,2026-07-10 09:27:06,4,2025,2
155,66,11,2025-07-16,On-Hold,New York Auto Group,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
156,123,7,2024-01-10,New,Mumbai Auto Hub,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,1,2024,1
157,108,24,2025-12-16,Rejected,Chennai Auto Park,Gujarat,Seed data lead v2,2026-07-10 09:27:06,12,2025,4
158,111,24,2024-12-01,In-Progress,Singapore Car Centre,Gujarat,Seed data lead v2,2026-07-10 09:27:06,12,2024,4
159,29,8,2024-12-05,On-Hold,New York Auto Group,Karnataka,Seed data lead v2,2026-07-10 09:27:06,12,2024,4
160,162,4,2026-02-04,Converted,Delhi Car Palace,Bavaria,Seed data lead v2,2026-07-10 09:27:06,2,2026,1
161,99,4,2026-01-30,New,London Premium Cars,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,1,2026,1
162,107,20,2024-12-31,New,Chennai Auto Park,Karnataka,Seed data lead v2,2026-07-10 09:27:06,12,2024,4
163,74,12,2025-05-08,In-Progress,Dubai Luxury Motors,Karnataka,Seed data lead v2,2026-07-10 09:27:06,5,2025,2
164,155,12,2024-08-14,New,Pune Car World,Florida,Seed data lead v2,2026-07-10 09:27:06,8,2024,3
165,139,21,2026-05-15,Converted,Singapore Car Centre,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,5,2026,2
166,163,18,2025-11-02,On-Hold,New York Auto Group,Berlin,Seed data lead v2,2026-07-10 09:27:06,11,2025,4
167,97,19,2026-04-08,On-Hold,Bengaluru Wheels,Karnataka,Seed data lead v2,2026-07-10 09:27:06,4,2026,2
168,155,2,2026-05-08,On-Hold,Hyderabad Motors,Florida,Seed data lead v2,2026-07-10 09:27:06,5,2026,2
169,164,1,2025-07-30,In-Progress,Tokyo Motors,Hesse,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
170,14,9,2026-01-09,Converted,Singapore Car Centre,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,1,2026,1
171,79,7,2025-07-22,In-Progress,Sydney Prestige Cars,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
172,123,17,2024-04-19,Rejected,Singapore Car Centre,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,4,2024,2
173,160,10,2026-05-26,On-Hold,Delhi Car Palace,Abu Dhabi,Seed data lead v2,2026-07-10 09:27:06,5,2026,2
174,14,23,2024-11-03,In-Progress,London Premium Cars,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,11,2024,4
175,83,6,2024-01-21,Converted,Pune Car World,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,1,2024,1
176,44,22,2026-05-16,Rejected,Chennai Auto Park,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,5,2026,2
177,85,24,2025-10-08,Converted,Bengaluru Wheels,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,10,2025,4
178,77,15,2024-04-26,In-Progress,Singapore Car Centre,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,4,2024,2
179,94,11,2025-05-20,Converted,Pune Car World,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,5,2025,2
180,145,24,2026-05-06,On-Hold,Sydney Prestige Cars,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,5,2026,2
181,4,26,2026-03-20,New,Chennai Auto Park,Karnataka,Seed data lead v2,2026-07-10 09:27:06,3,2026,1
182,85,9,2025-09-01,Converted,New York Auto Group,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,9,2025,3
183,44,18,2025-07-06,In-Progress,Dubai Luxury Motors,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
184,141,8,2024-07-10,Rejected,Singapore Car Centre,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,7,2024,3
185,162,13,2024-04-23,New,Singapore Car Centre,Bavaria,Seed data lead v2,2026-07-10 09:27:06,4,2024,2
186,170,4,2025-06-06,Converted,Chennai Auto Park,Singapore,Seed data lead v2,2026-07-10 09:27:06,6,2025,2
187,118,5,2025-01-24,Converted,Hyderabad Motors,Delhi,Seed data lead v2,2026-07-10 09:27:06,1,2025,1
188,124,18,2024-04-01,Rejected,Bengaluru Wheels,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,4,2024,2
189,164,5,2025-06-03,In-Progress,Hyderabad Motors,Hesse,Seed data lead v2,2026-07-10 09:27:06,6,2025,2
190,6,18,2024-03-08,On-Hold,Delhi Car Palace,Telangana,Seed data lead v2,2026-07-10 09:27:06,3,2024,1
191,15,5,2026-03-13,Converted,Singapore Car Centre,Delhi,Seed data lead v2,2026-07-10 09:27:06,3,2026,1
192,42,13,2024-02-11,New,Pune Car World,Karnataka,Seed data lead v2,2026-07-10 09:27:06,2,2024,1
193,46,1,2025-05-10,On-Hold,Sydney Prestige Cars,Karnataka,Seed data lead v2,2026-07-10 09:27:06,5,2025,2
194,131,21,2025-04-17,On-Hold,Bengaluru Wheels,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,4,2025,2
195,117,15,2024-06-06,New,Sydney Prestige Cars,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,6,2024,2
196,139,26,2025-04-21,Converted,Pune Car World,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,4,2025,2
197,116,20,2024-12-05,On-Hold,New York Auto Group,Delhi,Seed data lead v2,2026-07-10 09:27:06,12,2024,4
198,24,20,2025-09-25,Converted,Delhi Car Palace,West Bengal,Seed data lead v2,2026-07-10 09:27:06,9,2025,3
199,152,9,2024-12-01,Rejected,Mumbai Auto Hub,California,Seed data lead v2,2026-07-10 09:27:06,12,2024,4
200,145,2,2025-05-12,In-Progress,London Premium Cars,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,5,2025,2
201,4,21,2025-09-16,New,Singapore Car Centre,Karnataka,Seed data lead v2,2026-07-10 09:27:06,9,2025,3
202,112,14,2024-09-26,Converted,Bengaluru Wheels,Gujarat,Seed data lead v2,2026-07-10 09:27:06,9,2024,3
203,124,11,2024-11-09,Converted,Hyderabad Motors,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,11,2024,4
204,168,22,2024-01-05,In-Progress,Pune Car World,Victoria,Seed data lead v2,2026-07-10 09:27:06,1,2024,1
205,162,24,2025-09-07,Converted,Bengaluru Wheels,Bavaria,Seed data lead v2,2026-07-10 09:27:06,9,2025,3
206,88,22,2025-07-09,In-Progress,Mumbai Auto Hub,West Bengal,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
207,151,7,2026-01-04,In-Progress,Sydney Prestige Cars,New York,Seed data lead v2,2026-07-10 09:27:06,1,2026,1
208,155,8,2024-04-25,Converted,Dubai Luxury Motors,Florida,Seed data lead v2,2026-07-10 09:27:06,4,2024,2
209,32,10,2025-01-29,New,Bengaluru Wheels,Delhi,Seed data lead v2,2026-07-10 09:27:06,1,2025,1
210,163,2,2025-09-21,Converted,Pune Car World,Berlin,Seed data lead v2,2026-07-10 09:27:06,9,2025,3
211,37,2,2025-01-30,Converted,Chennai Auto Park,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,1,2025,1
212,31,14,2026-05-15,Converted,Pune Car World,West Bengal,Seed data lead v2,2026-07-10 09:27:06,5,2026,2
213,30,2,2025-02-03,Rejected,New York Auto Group,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,2,2025,1
214,107,17,2025-02-21,New,Bengaluru Wheels,Karnataka,Seed data lead v2,2026-07-10 09:27:06,2,2025,1
215,57,21,2025-07-19,New,Singapore Car Centre,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
216,104,23,2024-04-24,Converted,Pune Car World,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,4,2024,2
217,145,19,2024-09-08,On-Hold,Sydney Prestige Cars,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,9,2024,3
218,131,8,2024-04-09,In-Progress,Pune Car World,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,4,2024,2
219,139,24,2024-06-20,Rejected,Sydney Prestige Cars,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,6,2024,2
220,66,8,2025-03-16,New,Chennai Auto Park,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,3,2025,1
