transaction_id,lead_id,customer_id,vehicle_id,transaction_date,final_price_inr,loan_amount,loan_tenure_months,interest_rate,emi_amount,payment_mode,created_at,tx_month,tx_year,tx_quarter,is_loan
27,87,145,8,2025-05-12,1650000.0,,,,,Lease,2026-07-10 09:27:06,5,2025,2,0
28,88,32,23,2026-06-02,57943925.0,,,,,Lease,2026-07-10 09:27:06,6,2026,2,0
29,89,24,14,2024-02-28,1150000.0,897000.0,48,10.22,22845.13,Loan,2026-07-10 09:27:06,2,2024,1,1
30,91,24,4,2024-05-06,750000.0,,,,,Lease,2026-07-10 09:27:06,5,2024,2,0
31,95,10,13,2024-01-27,2299000.0,,,,,Full Cash,2026-07-10 09:27:06,1,2024,1,0
32,101,38,26,2025-10-26,45457944.0,39548411.0,36,10.91,1293079.31,Loan,2026-07-10 09:27:06,10,2025,4,1
33,102,146,2,2025-03-20,850000.0,765000.0,60,9.74,16156.3,Loan,2026-07-10 09:27:06,3,2025,1,1
34,104,144,3,2025-05-14,1050000.0,892500.0,60,9.32,18665.75,Loan,2026-07-10 09:27:06,5,2025,2,1
35,108,112,10,2025-06-24,2350000.0,1762500.0,72,10.71,33286.36,Loan,2026-07-10 09:27:06,6,2025,2,1
36,109,10,6,2024-06-09,1450000.0,,,,,Lease,2026-07-10 09:27:06,6,2024,2,0
37,110,166,16,2025-11-05,5500000.0,,,,,Full Cash,2026-07-10 09:27:06,11,2025,4,0
38,111,123,15,2026-01-04,1950000.0,1501500.0,48,12.35,39798.77,Loan,2026-07-10 09:27:06,1,2026,1,1
39,114,126,12,2024-06-01,1950000.0,1696500.0,48,7.5,41019.51,Loan,2026-07-10 09:27:06,6,2024,2,1
40,117,62,22,2025-08-21,299065421.0,,,,,Lease,2026-07-10 09:27:06,8,2025,3,0
41,119,140,5,2025-03-09,1550000.0,,,,,Lease,2026-07-10 09:27:06,3,2025,1,0
42,120,105,24,2025-08-21,59084112.0,46085607.0,72,10.56,866846.25,Loan,2026-07-10 09:27:06,8,2025,3,1
43,123,136,23,2024-02-17,57943925.0,,,,,Full Cash,2026-07-10 09:27:06,2,2024,1,0
44,126,157,15,2024-12-03,1950000.0,1423500.0,36,7.93,44561.36,Loan,2026-07-10 09:27:06,12,2024,4,1
45,127,157,23,2025-06-08,57943925.0,42878505.0,72,9.73,788534.48,Loan,2026-07-10 09:27:06,6,2025,2,1
46,128,133,19,2026-02-23,8317757.0,6903738.0,48,13.46,186790.08,Loan,2026-07-10 09:27:06,2,2026,1,1
47,135,130,17,2024-08-28,6100000.0,5246000.0,72,7.61,90983.62,Loan,2026-07-10 09:27:06,8,2024,3,1
48,136,110,6,2026-04-11,1450000.0,1261500.0,72,13.04,25350.12,Loan,2026-07-10 09:27:06,4,2026,2,1
49,142,56,9,2025-10-08,1900000.0,1387000.0,48,9.24,34673.83,Loan,2026-07-10 09:27:06,10,2025,4,1
50,144,98,5,2026-05-09,1550000.0,1379500.0,60,8.07,28017.52,Loan,2026-07-10 09:27:06,5,2026,2,1
51,146,83,6,2024-02-17,1450000.0,1145500.0,24,11.06,53421.19,Loan,2026-07-10 09:27:06,2,2024,1,1
52,147,153,13,2025-07-22,2299000.0,1724250.0,60,13.78,39923.89,Loan,2026-07-10 09:27:06,7,2025,3,1
53,154,69,3,2025-05-16,1050000.0,735000.0,84,12.52,13180.04,Loan,2026-07-10 09:27:06,5,2025,2,1
54,160,162,4,2026-02-12,750000.0,,,,,Full Cash,2026-07-10 09:27:06,2,2026,1,0
55,165,139,21,2026-05-19,6136449.0,,,,,Full Cash,2026-07-10 09:27:06,5,2026,2,0
56,170,14,9,2026-01-16,1900000.0,1691000.0,72,7.86,29533.25,Loan,2026-07-10 09:27:06,1,2026,1,1
57,175,83,6,2024-02-19,1450000.0,,,,,Full Cash,2026-07-10 09:27:06,2,2024,1,0
58,177,85,24,2025-10-18,59084112.0,53175701.0,24,11.9,2500682.34,Loan,2026-07-10 09:27:06,10,2025,4,1
59,179,94,11,2025-06-17,1800000.0,1386000.0,36,10.74,45205.4,Loan,2026-07-10 09:27:06,6,2025,2,1
60,182,85,9,2025-09-13,1900000.0,1653000.0,60,11.78,36586.57,Loan,2026-07-10 09:27:06,9,2025,3,1
61,186,170,4,2025-06-11,750000.0,667500.0,72,12.45,13206.48,Loan,2026-07-10 09:27:06,6,2025,2,1
62,187,118,5,2025-01-31,1550000.0,,,,,Full Cash,2026-07-10 09:27:06,1,2025,1,0
63,191,15,5,2026-03-16,1550000.0,,,,,Full Cash,2026-07-10 09:27:06,3,2026,1,0
64,196,139,26,2025-05-20,45457944.0,,,,,Full Cash,2026-07-10 09:27:06,5,2025,2,0
65,198,24,20,2025-10-21,9330841.0,6904822.0,24,11.96,324904.98,Loan,2026-07-10 09:27:06,10,2025,4,1
66,202,112,14,2024-10-03,1150000.0,1023500.0,24,10.39,47413.78,Loan,2026-07-10 09:27:06,10,2024,4,1
67,203,124,11,2024-11-17,1800000.0,1458000.0,24,13.4,69590.23,Loan,2026-07-10 09:27:06,11,2024,4,1
68,205,162,24,2025-10-05,59084112.0,50812336.0,24,11.94,2390489.59,Loan,2026-07-10 09:27:06,10,2025,4,1
69,208,155,8,2024-05-20,1650000.0,1419000.0,24,13.3,67661.97,Loan,2026-07-10 09:27:06,5,2024,2,1
70,210,163,2,2025-09-27,850000.0,,,,,Full Cash,2026-07-10 09:27:06,9,2025,3,0
71,211,37,2,2025-02-19,850000.0,620500.0,24,10.05,28647.25,Loan,2026-07-10 09:27:06,2,2025,1,1
72,212,31,14,2026-05-27,1150000.0,,,,,Lease,2026-07-10 09:27:06,5,2026,2,0
73,216,104,23,2024-05-22,57943925.0,,,,,Full Cash,2026-07-10 09:27:06,5,2024,2,0
74,225,128,11,2025-05-11,1800000.0,,,,,Lease,2026-07-10 09:27:06,5,2025,2,0
75,227,67,7,2025-12-02,1200000.0,972000.0,60,10.88,21075.51,Loan,2026-07-10 09:27:06,12,2025,4,1
76,230,10,18,2025-06-23,6074766.0,,,,,Lease,2026-07-10 09:27:06,6,2025,2,0
77,231,17,15,2025-06-25,1950000.0,1462500.0,60,10.17,31196.28,Loan,2026-07-10 09:27:06,6,2025,2,1
78,233,133,22,2025-12-31,299065421.0,233271028.0,84,7.7,3601044.68,Loan,2026-07-10 09:27:06,12,2025,4,1
79,238,37,18,2024-04-16,6074766.0,5042056.0,60,9.91,106905.65,Loan,2026-07-10 09:27:06,4,2024,2,1
80,239,98,12,2025-04-30,1950000.0,,,,,Full Cash,2026-07-10 09:27:06,4,2025,2,0
81,247,151,2,2026-04-07,850000.0,,,,,Lease,2026-07-10 09:27:06,4,2026,2,0
82,253,83,3,2024-04-07,1050000.0,,,,,Full Cash,2026-07-10 09:27:06,4,2024,2,0
83,254,2,6,2025-02-04,1450000.0,,,,,Full Cash,2026-07-10 09:27:06,2,2025,1,0
84,259,10,12,2024-02-08,1950000.0,,,,,Full Cash,2026-07-10 09:27:06,2,2024,1,0
85,268,28,17,2024-10-01,6100000.0,5246000.0,60,12.98,119308.92,Loan,2026-07-10 09:27:06,10,2024,4,1
86,283,147,15,2025-03-01,1950000.0,1384500.0,72,9.48,25287.46,Loan,2026-07-10 09:27:06,3,2025,1,1
87,292,153,14,2024-10-16,1150000.0,,,,,Full Cash,2026-07-10 09:27:06,10,2024,4,0
88,298,61,26,2026-05-12,45457944.0,33184299.0,84,12.01,585971.04,Loan,2026-07-10 09:27:06,5,2026,2,1
89,299,82,20,2026-05-18,9330841.0,6904822.0,84,10.34,115844.88,Loan,2026-07-10 09:27:06,5,2026,2,1
90,300,12,3,2024-09-17,1050000.0,766500.0,24,10.38,35504.67,Loan,2026-07-10 09:27:06,9,2024,3,1
91,302,171,2,2026-07-13,850000.0,680000.0,36,8.0,21308.73,Loan,2026-07-13 04:55:53,7,2026,3,1
